Service Area	Service	Service Description
Databases	Azure SQL	Modern SQL family for migration and app modernization
Databases	Azure SQL Database	"Managed, intelligent SQL in the cloud"
Databases	Azure SQL Edge	Consume Services privately on Azure Platform
Databases	Azure SQL Managed Instance	"Managed, always up-to-date SQL instance in the cloud"
Databases	SQL Server on Azure Virtual Machines	Migrate SQL Server workloads to the cloud at lower total cost of ownership (TCO)
Databases	Table Storage	NoSQL key-value store using semi-structured datasets
Databases	Azure Managed Instance for Apache Cassandra	Modernize Cassandra data clusters with a managed instance in the cloud
Databases	Azure confidential ledger PREVIEW	"Tamperproof, unstructured data store hosted in trusted execution environments (TEEs) and backed by cryptographically verifiable evidence"
Developer tools	App Configuration	"Fast, scalable parameter storage for app configuration"
Developer tools	Azure DevOps	"Services for teams to share code, track work, and ship software"
Developer tools	Azure DevTest Labs	Quickly create environments using reusable templates and artifacts
Developer tools	Azure Lab Services	"Set up labs for classrooms, trials, development and testing, and other scenarios"
Developer tools	Azure Pipelines	"Continuously build, test, and deploy to any platform and cloud"
Developer tools	SDKs	Get the SDKs and command-line tools you need
Developer tools	Visual Studio	Powerful and flexible environment to develop apps in the cloud
Developer tools	Visual Studio Code	"A powerful, lightweight code editor for cloud development"
Developer tools	Azure Load Testing PREVIEW	Optimize app performance with high-scale load testing
DevOps	Azure Artifacts	"Create, host, and share packages with your team"
DevOps	Azure Boards	"Plan, track, and discuss work across your teams"
DevOps	Azure DevOps	"Services for teams to share code, track work, and ship software"
DevOps	Azure DevTest Labs	Quickly create environments using reusable templates and artifacts
DevOps	Azure Monitor	"Full observability into your applications, infrastructure, and network"
DevOps	Azure Pipelines	"Continuously build, test, and deploy to any platform and cloud"
DevOps	Azure Repos	"Get unlimited, cloud-hosted private Git repos for your project"
DevOps	Azure Test Plans	Test and ship confidently with an exploratory test toolkit
DevOps	DevOps tool integrations	Use your favorite DevOps tools with Azure
DevOps	Azure Load Testing PREVIEW	Optimize app performance with high-scale load testing
Hybrid + multicloud	Azure Active Directory (Azure AD)	Synchronize on-premises directories and enable single sign-on
Hybrid + multicloud	Azure Arc	"Secure, develop, and operate infrastructure, apps, and Azure services anywhere"
Hybrid + multicloud	Azure Database for PostgreSQL	"Fully managed, intelligent, and scalable PostgreSQL"
Hybrid + multicloud	Azure DevOps	"Services for teams to share code, track work, and ship software"
Hybrid + multicloud	Azure ExpressRoute	"Experience a fast, reliable, and private connection to Azure"
Hybrid + multicloud	Azure IoT Edge	Extend cloud intelligence and analytics to edge devices
Hybrid + multicloud	Microsoft Sentinel	Cloud-native SIEM and intelligent security analytics
Hybrid + multicloud	Azure SQL Database	"Managed, intelligent SQL in the cloud"
Hybrid + multicloud	Azure SQL Edge	Consume Services privately on Azure Platform
Hybrid + multicloud	Azure Stack	Build and run innovative hybrid apps across cloud boundaries
Hybrid + multicloud	Microsoft Defender for Cloud	Extend threat protection to any infrastructure
Hybrid + multicloud	Azure Stack HCI	"Run your production workloads anywhere on hybrid, familiar hyperconverged infrastructure"
Hybrid + multicloud	Azure Stack Hub	"Azure Stack Hub is sold as an integrated hardware system, with software pre-installed on validated hardware"
Hybrid + multicloud	Azure Stack Edge	"An Azure managed device that brings the compute, storage, and intelligence of Azure to the edge"
Hybrid + multicloud	Azure Modular Datacenter	"A complete, rugged datacenter solution"
Identity	Azure Active Directory (Azure AD)	Synchronize on-premises directories and enable single sign-on
Identity	Azure Active Directory Domain Services	Manage your domain controllers in the cloud
Identity	Azure Information Protection	"Better protect your sensitive information—anytime, anywhere"
Identity	Azure Active Directory External Identities	Consumer identity and access management in the cloud
Integration	API Management	"Publish APIs to developers, partners, and employees securely and at scale"
Integration	Azure Healthcare APIs PREVIEW	A unified solution that helps protect and combine health data in the cloud and generates healthcare insights with analytics
Integration	Event Grid	Reliable event delivery at massive scale
Integration	Logic Apps	Automate the access and use of data across clouds
Integration	Service Bus	Connect across private and public cloud environments
Integration	Azure Web PubSub	Easily build real-time messaging web applications using WebSockets and the publish-subscribe pattern
Internet of Things	API Management	"Publish APIs to developers, partners, and employees securely and at scale"
Internet of Things	Azure Cosmos DB	"Build or modernize scalable, high-performance apps"
Internet of Things	Azure Digital Twins	Use IoT spatial intelligence to create models of physical environments
Internet of Things	Azure IoT Central	Build IoT solutions on a hosted platform
Internet of Things	Azure IoT Edge	Extend cloud intelligence and analytics to edge devices
Internet of Things	Azure IoT Hub	"Connect, monitor, and manage billions of IoT assets"
Internet of Things	Azure Machine Learning	An enterprise-grade service for the end-to-end machine learning lifecycle
Internet of Things	Azure Maps	"Create location-aware web and mobile applications using simple and secure geospatial services, APIs, and SDKs in Azure"
Internet of Things	Azure RTOS	Making embedded IoT development and connectivity easy
Internet of Things	Azure Sphere	Securely connect MCU-powered devices from the silicon to the cloud
Internet of Things	Azure SQL Edge	Consume Services privately on Azure Platform
Internet of Things	Azure Stream Analytics	Real-time analytics on fast-moving streaming data
Internet of Things	Azure Time Series Insights	Visualize IoT data in real time
Internet of Things	Event Grid	Reliable event delivery at massive scale
Internet of Things	Kinect DK	Build for mixed reality using AI sensors
Internet of Things	Logic Apps	Automate the access and use of data across clouds
Internet of Things	Notification Hubs	Send push notifications to any platform from any back end
Internet of Things	Windows 10 IoT Core Services	Long-term OS support and services to manage device updates and assess device health
Internet of Things	Microsoft Defender for IoT	"Continuous asset discovery, vulnerability management, and threat detection for your Internet of Things (IoT) and operational technology (OT) devices"
Internet of Things	Azure Percept PREVIEW	Accelerate edge intelligence from silicon to service
Internet of Things	Windows for IoT	"Build intelligent edge solutions with world-class developer tools, long-term support, and enterprise-grade security."
Internet of Things	Azure Functions	Execute event-driven serverless code with an end-to-end development experience
Management and governance	Automation	Simplify cloud management with process automation
Management and governance	Azure Advisor	Your personalized Azure best practices recommendation engine
Management and governance	Azure Backup	Simplify data protection with built-in backup management at scale
Management and governance	Azure Blueprints PREVIEW	"Enabling quick, repeatable creation of governed environments"
Management and governance	Azure Lighthouse	Empowering service providers to manage customers at scale and with precision
Management and governance	Azure Managed Applications	Simplify management of cloud offerings
Management and governance	Azure Migrate	"Discover, assess, right-size, and migrate your on-premises virtual machines (VMs) to Azure"
Management and governance	Azure mobile app	"Stay connected to your Azure resources—anytime, anywhere"
Management and governance	Azure Monitor	"Full observability into your applications, infrastructure, and network"
Management and governance	Azure Policy	Implement corporate governance and standards at scale
Management and governance	Azure Resource Manager	Simplify how you manage your app resources
Management and governance	Azure Resource Manager templates	Deliver infrastructure as code for all your Azure resources using Resource Manager
Management and governance	Azure Service Health	Personalized guidance and support for when issues in Azure services affect you
Management and governance	Azure Site Recovery	Keep your business running with built-in disaster recovery service
Management and governance	Cloud Shell	Streamline Azure administration with a browser-based shell
Management and governance	Azure Cost Management and Billing	Manage your cloud spending with confidence
Management and governance	Microsoft Azure portal	"Build, manage, and monitor all Azure products in a single, unified console"
Management and governance	Network Watcher	Network performance monitoring and diagnostics solution
Management and governance	Traffic Manager	Route incoming traffic for high performance and availability
Management and governance	Azure Automanage PREVIEW	Simplify and optimize IT management with automated operations
Management and governance	Azure Resource Mover	Simplify how you move multiple resources between Azure regions
Management and governance	Azure Purview	A unified data governance solution that maximizes the business value of your data
Management and governance	Azure Chaos Studio PREVIEW	Improve application resilience by introducing faults and simulating outages
Media	Azure Media Player	A single player for all your playback needs
Media	Content Delivery Network	"Fast, reliable content delivery network with global reach"
Media	Content Protection	"Securely deliver content using AES, PlayReady, Widevine, and Fairplay"
Media	Encoding	Studio grade encoding at cloud scale
Media	Live and On-Demand Streaming	Deliver content to virtually all devices with ability to scale
Media	Media Services	"Encode, store, and stream video and audio at scale"
Migration	Azure Database Migration Service	Simplify on-premises database migration to the cloud
Migration	Azure Migrate	"Discover, assess, right-size, and migrate your on-premises virtual machines (VMs) to Azure"
Migration	Azure Site Recovery	Keep your business running with built-in disaster recovery service
Migration	Azure Cost Management and Billing	Manage your cloud spending with confidence
Migration	Data Box	Appliances and solutions for data transfer to Azure and edge compute
Mixed reality	Azure Digital Twins	Use IoT spatial intelligence to create models of physical environments
Mixed reality	Kinect DK	Build for mixed reality using AI sensors
Mixed reality	Remote Rendering	"Render high-quality, interactive 3D content with real-time streaming"
Mixed reality	Spatial Anchors	"Create multi-user, spatially aware mixed reality experiences"
